COLLCODE,COLL_NAME
3458,DHANALAKSHMI SRINIVASAN INSTITUTE OF RESEARCH AND TECHNOLOGY
3459,DHANALAKSHMI SRINIVASAN INSTITUTE OF TECHNOLOGY
3460,SUREYA COLLEGE OF ENGINEERING
3461,HAJI SHEIK ISMAIL ENGINEERING COLLEGE
3462,ARIYALUR ENGINEERING COLLEGE
3464,GOVERNMENT COLLEGE OF ENGINEERING - THANJAVUR
3465,GOVERNMENT COLLEGE OF ENGINEERING - SRIRANGAM
3466,NELLIANDAVAR INSTITUTE OF TECHNOLOGY
3701,K.RAMAKRISHNAN COLLEGE OF TECHNOLOGY
3760,SIR ISSAC NEWTON COLLEGE OF ENGINEERING AND TECHNOLOGY
3766,STAR LION COLLEGE OF ENGINEERING AND TECHNOLOGY
3781,K.K.C COLLEGE OF ENGINEERING AND TECHNOLOGY
3782,OASYS INSTITUTE OF TECHNOLOGY
3786,M.A.M. SCHOOL OF ENGINEERING
3795,SRM TRP ENGINEERING COLLEGE
3801,A.V.C COLLEGE OF ENGINEERING
3802,SHRI ANGALAMMAN COLLEGE OF ENGINEERING AND TECHNOLOGY
3803,ANJALAI AMMAL MAHALINGAM ENGINEERING COLLEGE
3804,ARASU ENGINEERING COLLEGE
3805,DHANALAKSHMI SRINIVASAN ENGINEERING COLLEGE
3806,E.G.S.PILLAY ENGINEERING COLLEGE (AUTONOMOUS)
3807,J.J.COLLEGE OF ENGINEERING AND TECHNOLOGY
3808,JAYARAM COLLEGE OF ENGINEERING AND TECHNOLOGY
3809,KURINJI COLLEGE OF ENGINEERING AND TECHNOLOGY
3810,M.A.M COLLEGE OF ENGINEERING
3811,M.I.E.T ENGINEERING COLLEGE
3812,MOOKAMBIGAI COLLEGE OF ENGINEERING
3813,OXFORD ENGINEERING COLLEGE
3814,P.R.ENGINEERING COLLEGE
3815,PAVENDAR BHARATHIDASAN COLLEGE OF ENGINEERING AND TECHNOLOGY
3817,ROEVER ENGINEERING COLLEGE
3819,SARANATHAN COLLEGE OF ENGINEERING
3820,TRICHY ENGINEERING COLLEGE
3821,A.R.J COLLEGE OF ENGINEERING AND TECHNOLOGY
3822,DR.NAVALAR NEDUNCHEZHIYAN COLLEGE OF ENGINEERING
3823,SRINIVASAN ENGINEERING COLLEGE
3825,St. JOSEPH'S COLLEGE OF ENGINEERING AND TECHNOLOGY
3826,KONGUNADU COLLEGE OF ENGINEERING AND TECHNOLOGY
3829,M.A.M COLLEGE OF ENGINEERING AND TECHNOLOGY
3830,K. RAMAKRISHNAN COLLEGE OF ENGINEERING
3831,INDRA GANESAN COLLEGE OF ENGINEERING
3833,PARISUTHAM INSTITUTE OF TECHNOLOGY AND SCIENCE
3841,C.A.R.E. GROUP OF INSTITUTIONS
3843,M R K INSTITUTE OF TECHNOLOGY
3844,SHIVANI ENGINEERING COLLEGE
3845,IMAYAM COLLEGE OF ENGINEERING
3846,MOTHER TERASA COLLEGE OF ENGINEERING AND TECHNOLOGY
3847,ROEVER COLLEGE OF ENGINEERING AND TECHNOLOGY
3848,VANDAYAR ENGINEERING COLLEGE
3849,ANNAI COLLEGE OF ENGINEERING AND TECHNOLOGY
3850,VETRI VINAYAHA COLLEGE OF ENGINEERING AND TECHNOLOGY
3852,SRI BHARATHI ENGINEERING COLLEGE FOR WOMEN
3854,MAHATH AMMA INSTITUTE OF ENGINEERING AND TECHNOLOGY
3855,AS-SALAM COLLEGE OF ENGINEERING AND TECHNOLOGY
3857,MEENAKSHI RAMASWAMY ENGINEERING COLLEGE
3859,SEMBODAI RUKMANI VARATHARAJAN ENGINEERING COLLEGE
3860,St. ANNE'S COLLEGE OF ENGINEERING AND TECHNOLOGY
3905,KINGS COLLEGE OF ENGINEERING
3908,MOUNT ZION COLLEGE OF ENGINEERING AND TECHNOLOGY
3918,SHANMUGANATHAN ENGINEERING COLLEGE
3920,SUDHARSAN ENGINEERING COLLEGE
3925,M.A.R. COLLEGE OF ENGINEERING AND TECHNOLOGY
3926,CHENDHURAN COLLEGE OF ENGINEERING AND TECHNOLOGY
3940,ANNAMALAI UNIVERSITY - FACULTY OF ENGINEERING AND TECHNOLOGY
4020,"ANNA UNIVERSITY REGIONAL CAMPUS, TIRUNELVELI"
4023,"UNIVERSITY COLLEGE OF ENGINEERING, NAGERCOIL"
4024,"UNIVERSITY VOC COLLEGE OF ENGINEERING, THOOTHUKUDI"
4669,THAMIRABHARANI ENGINEERING COLLEGE
4670,ROHINI COLLEGE OF ENGINEERING AND TECHNOLOGY
4672,STELLA MARY'S  COLLEGE OF ENGINEERING
4675,UNIVERSAL COLLEGE OF ENGINEERING & TECHNOLOGY
4676,RENGANAYAGI VARATHARAJ COLLEGE OF ENGINEERING
4677,LOURDES MOUNT COLLEGE OF ENGINEERING AND TECHNOLOGY
4678,RAMCO INSTITUTE OF TECHNOLOGY
4680,AAA COLLEGE OF ENGINEERING AND TECHNOLOGY
4864,V V COLLEGE OF ENGINEERING
4917,SETHU INSTITUTE OF TECHNOLOGY (AUTONOMOUS)
4927,MARIA COLLEGE OF ENGINEERING AND TECHNOLOGY
4928,MAR EPHRAEM COLLEGE OF ENGINEERING AND TECHNOLOGY
4929,M.E.T ENGINEERING COLLEGE
4931,CHANDY COLLEGE OF ENGINEERING
4933,St.MOTHER THERESA ENGINEERING COLLEGE
4934,HOLY CROSS ENGINEERING COLLEGE
4937,A.R. COLLEGE OF ENGINEERING AND TECHNOLOGY
4938,SIVAJI COLLEGE OF ENGINEERING AND TECHNOLOGY
4941,UNNAMALAI INSTITUTE OF TECHNOLOGY
4943,SATYAM COLLEGE OF ENGINEERING AND TECHNOLOGY
4944,ARUNACHALA COLLEGE OF ENGINEERING FOR WOMEN
4945,VINS CHRISTIAN WOMEN'S COLLEGE OF ENGINEERING
4946,DMI ENGINEERING COLLEGE
4948,RAJAS INTERNATIONAL INSTITUTE OF TECHNOLOGY FOR WOMEN
4949,PSN INSTITUTE OF TECHNOLOGY AND SCIENCE
4952,C.S.I. INSTITUTE OF TECHNOLOGY
4953,CAPE INSTITUTE OF TECHNOLOGY
4954,DR.SIVANTHI ADITANAR COLLEGE OF ENGINEERING
